"N","frequency","BWPD","HMAa","seed"
30,"extremely skewed",0.193724463775453,0.10954220067966,1010
40,"equally abundant",0.8080345,0.479219808506982,1010
40,"intermediate",0.778860588113236,0.470765739788645,1010
40,"extremely skewed",0.426852787306987,0.222457622560072,1010
50,"equally abundant",0.7782492,0.465378427353506,1010
50,"intermediate",0.758265206365099,0.450101646186084,1010
50,"extremely skewed",0.297196786463222,0.195052300381045,1010
60,"equally abundant",0.775260333333333,0.46206539253757,1010
60,"intermediate",0.808055721053994,0.464775044032306,1010
60,"extremely skewed",0.627038056272239,0.32684721079146,1010
70,"equally abundant",0.772570285714286,0.457890200812772,1010
70,"intermediate",0.776722417315903,0.455777624080919,1010
70,"extremely skewed",0.563254123642606,0.269892436025964,1010
80,"equally abundant",0.760004,0.45225877188266,1010
80,"intermediate",0.740036615910897,0.443942478211728,1010
80,"extremely skewed",0.60651796717488,0.29048585255294,1010
100,"equally abundant",0.7739654,0.454116628707108,1010
100,"intermediate",0.762278018666231,0.452686083719381,1010
100,"extremely skewed",0.645395400003632,0.309042321253588,1010
120,"equally abundant",0.7797365,0.458961916517357,1010
120,"intermediate",0.772270924753687,0.451056895004365,1010
120,"extremely skewed",0.9869468340164,0.490782095699385,1010
150,"equally abundant",0.781577200000001,0.457588943504957,1010
150,"intermediate",0.789787790422092,0.459713540776103,1010
150,"extremely skewed",0.630065986753967,0.328017780690581,1010
180,"equally abundant",0.775733444444444,0.457651224547173,1010
180,"intermediate",0.782168552007424,0.45644054369736,1010
180,"extremely skewed",0.659145867320777,0.315448851697913,1010
200,"equally abundant",0.782287899999999,0.462655447449282,1010
200,"intermediate",0.778624268690195,0.457989295337976,1010
200,"extremely skewed",0.776397435532327,0.374653960349212,1010
10,"equally abundant",0.872852,0.430866231000466,1011
10,"intermediate",0.847590981607468,0.410321198573316,1011
10,"extremely skewed",0.12521914181743,0.0790473978542428,1011
20,"equally abundant",0.802275,0.421733676442312,1011
20,"intermediate",0.793930943592868,0.406301193281591,1011
20,"extremely skewed",0.254944706908596,0.138008972943946,1011
30,"equally abundant",0.811414,0.422717070449451,1011
30,"intermediate",0.791532093791632,0.411351921118343,1011
30,"extremely skewed",0.156021968909667,0.0855701405600102,1011
40,"equally abundant",0.797415,0.438641287727694,1011
40,"intermediate",0.795859394882774,0.423817707188213,1011
40,"extremely skewed",0.237229563448574,0.13301555168255,1011
50,"equally abundant",0.799444,0.444217430504536,1011
50,"intermediate",0.817454731555539,0.437921209064741,1011
50,"extremely skewed",0.321524757856529,0.17886014522073,1011
60,"equally abundant",0.799578666666667,0.448494549148921,1011
60,"intermediate",0.798203643364862,0.442302624120381,1011
60,"extremely skewed",0.395495363026924,0.227727062090998,1011
70,"equally abundant",0.796088,0.450420497047548,1011
70,"intermediate",0.79288376954161,0.442877689986809,1011
70,"extremely skewed",0.220782801593255,0.134341312644627,1011
80,"equally abundant",0.79274175,0.449634018743429,1011
80,"intermediate",0.785484043479519,0.444924072211637,1011
80,"extremely skewed",0.353641459863235,0.24928324838423,1011
100,"equally abundant",0.7893694,0.458057144437938,1011
100,"intermediate",0.791483343900409,0.463602835509283,1011
100,"extremely skewed",0.439540369850423,0.234830177641352,1011
120,"equally abundant",0.802846,0.479551154073284,1011
120,"intermediate",0.798758168397443,0.472845099448609,1011
120,"extremely skewed",0.458340019623174,0.260576129751069,1011
150,"equally abundant",0.811029333333334,0.481859367189116,1011
150,"intermediate",0.807478536343431,0.479368187709187,1011
150,"extremely skewed",0.668945131557972,0.315319882391678,1011
180,"equally abundant",0.808636777777778,0.481655332587632,1011
180,"intermediate",0.810694605775981,0.481016482196416,1011
180,"extremely skewed",0.761008030580223,0.357526752714726,1011
200,"equally abundant",0.8102999,0.482697023698706,1011
200,"intermediate",0.810903114240124,0.47915218916349,1011
200,"extremely skewed",0.832266146261494,0.42164205043072,1011
10,"equally abundant",0.658622,0.406422311958463,1012
10,"intermediate",0.586442964269552,0.390542717719232,1012
10,"extremely skewed",0.450715718023114,0.178430452937044,1012
20,"equally abundant",0.705865,0.42555814552249,1012
20,"intermediate",0.718141042332256,0.427497684652314,1012
20,"extremely skewed",0.202879892534098,0.121671046242203,1012
30,"equally abundant",0.734421333333333,0.426003752740727,1012
30,"intermediate",0.740773134081824,0.406841818226156,1012
30,"extremely skewed",0.199914217667923,0.115381185068128,1012
40,"equally abundant",0.7461155,0.437276736698885,1012
40,"intermediate",0.752180887544747,0.430973795481548,1012
40,"extremely skewed",0.745428125352687,0.27017606297766,1012
50,"equally abundant",0.7288236,0.432039246948853,1012
50,"intermediate",0.731292772883593,0.407166762166626,1012
50,"extremely skewed",0.231052013976456,0.123767137966367,1012
60,"equally abundant",0.738292333333333,0.426640432262444,1012
60,"intermediate",0.743689973032049,0.424859418737253,1012
60,"extremely skewed",0.22470172940597,0.139989909188055,1012
70,"equally abundant",0.747584857142857,0.431519678123443,1012
70,"intermediate",0.753394133394234,0.427683178618987,1012
70,"extremely skewed",0.272872062774624,0.171770953331823,1012
80,"equally abundant",0.75383525,0.431952223469644,1012
80,"intermediate",0.751497024725308,0.433382066386167,1012
80,"extremely skewed",0.194187398120063,0.112234254302711,1012
100,"equally abundant",0.7667802,0.445392058155857,1012
100,"intermediate",0.764026144130964,0.442824884280219,1012
100,"extremely skewed",0.258587093373909,0.172111624128823,1012
120,"equally abundant",0.768214333333333,0.447162124430255,1012
120,"intermediate",0.778752769809365,0.445716222200006,1012
120,"extremely skewed",0.550239229088389,0.274364173083913,1012
150,"equally abundant",0.774156933333334,0.455190045974732,1012
150,"intermediate",0.780187329234567,0.457255624689874,1012
150,"extremely skewed",0.394757685680928,0.210569508196554,1012
180,"equally abundant",0.782759222222222,0.457400028921973,1012
180,"intermediate",0.787573513870782,0.458720813211691,1012
180,"extremely skewed",0.672563202366729,0.342539729824761,1012
200,"equally abundant",0.7872266,0.463411502513265,1012
200,"intermediate",0.788470475839489,0.468051945053454,1012
200,"extremely skewed",0.45398658877065,0.226854074132752,1012
10,"equally abundant",0.789882,0.397093234063607,1013
10,"intermediate",1.01802561770242,0.430431471151835,1013
10,"extremely skewed",0.0981610880953386,0.0454529397045434,1013
20,"equally abundant",0.832289,0.465219344463353,1013
20,"intermediate",0.775574477789484,0.438197649439404,1013
20,"extremely skewed",0.187054449448256,0.0935974849223118,1013
30,"equally abundant",0.788704666666667,0.474474334302022,1013
30,"intermediate",0.793241512483104,0.447111950348315,1013
30,"extremely skewed",0.0170117574587282,0.0128122954460281,1013
40,"equally abundant",0.8090975,0.484658777949554,1013
40,"intermediate",0.80369323998363,0.473814159061931,1013
40,"extremely skewed",0.00453667907544071,0.00302721913317644,1013
50,"equally abundant",0.7975948,0.48038190614419,1013
50,"intermediate",0.798078366594085,0.485481439410144,1013
50,"extremely skewed",0.0169701309759959,0.00887946608525733,1013
60,"equally abundant",0.799613333333333,0.479896866345323,1013
60,"intermediate",0.770098906180075,0.472601646180329,1013
60,"extremely skewed",0.0121663022306871,0.00889453059443211,1013
70,"equally abundant",0.812063428571428,0.491152089842534,1013
70,"intermediate",0.812967868815458,0.495097082394805,1013
70,"extremely skewed",0.453388564435914,0.238691933435854,1013
80,"equally abundant",0.805127,0.492388004720435,1013
80,"intermediate",0.804942606276989,0.466151565027696,1013
80,"extremely skewed",0.0128090675264753,0.00869976791243583,1013
100,"equally abundant",0.8239418,0.514679415963606,1013
100,"intermediate",0.843637911577386,0.51577996706248,1013
100,"extremely skewed",0.620539359067491,0.301878399067885,1013
120,"equally abundant",0.829410333333333,0.513517129821213,1013
120,"intermediate",0.817948466929301,0.509857869686864,1013
120,"extremely skewed",0.0155812756783704,0.0106852935014286,1013
150,"equally abundant",0.830724933333333,0.510673373651184,1013
150,"intermediate",0.83183176505502,0.508623313131757,1013
150,"extremely skewed",0.708897134576531,0.344026078480505,1013
180,"equally abundant",0.829034333333333,0.50230704480252,1013
180,"intermediate",0.842669570550534,0.509900645844212,1013
