"size_difference","shared_otu","comA_HMAa","comB_HMAa","All_HMAa","HMAb","Rao_beta","UniFrac","seed"
40,0,0.299496652621645,0.199631443183429,0.301026256365969,0.102924416926865,0.118452885848212,0.497276463972049,1007
80,0,0.270085732583926,0.220746213881154,0.392570098875529,0.294308251285979,0.214196335139964,0.816277101965315,1007
0,0,0.0532798861298383,0.0109297035722549,0.274218152975636,0.484226716249179,0.418023902325407,0.898072938658734,1007
20,0,0.230420351704112,0.167360279668377,0.363623403781851,0.329466176191213,0.255072369645954,0.801471287836411,1007
40,0,0.111655691461597,0.0222570509703242,0.2923050331558,0.450697323879679,0.384007180211441,0.85161176268256,1007
80,0,0.206186243109221,0.193117341776581,0.323272920038475,0.247242255191147,0.220587255191761,0.806723592118495,1007
0,0,0.0605053564706479,0.28096405982624,0.332143850657572,0.322818285018257,0.269398971475252,0.917476225543817,1008
20,0,0.046513635244861,0.274444008615386,0.304138196683293,0.287318749506338,0.258748927412894,0.89797517204414,1008
40,0,0.298456628866534,0.291971863170857,0.410254169473501,0.23007984690961,0.157241796437972,0.887079424934781,1008
60,0,0.321936904980522,0.336435337527603,0.43149679885253,0.204621355196935,0.126850776400087,0.8728609490697,1008
0,0,0.371386852655049,0.341557594688936,0.441030372617309,0.169116297890632,0.0959955959334127,0.760951005401269,1008
20,0,0.354221689662069,0.326692707462006,0.43351233602664,0.186110274929204,0.112500735701324,0.856514042362229,1008
